GCF_000005845.2_ASM584v2	GCF/000/005/845/GCF_000005845.2_ASM584v2	eco	GCF/000/005/845	Escherichia coli K-12 MG1655
GCA_000340925.1_ASM34092v1	GCA/000/340/925/GCA_000340925.1_ASM34092v1	kbt	GCA/000/340/925	Candidatus Kinetoplastibacterium blastocrithidii TCC012E
GCA_000340795.1_ASM34079v1	GCA/000/340/795/GCA_000340795.1_ASM34079v1	kde	GCA/000/340/795	Candidatus Kinetoplastibacterium desouzaii
GCA_000340905.1_ASM34090v1	GCA/000/340/905/GCA_000340905.1_ASM34090v1	kga	GCA/000/340/905	Candidatus Kinetoplastibacterium galatii
GCA_000340865.1_ASM34086v1	GCA/000/340/865/GCA_000340865.1_ASM34086v1	kon	GCA/000/340/865	Candidatus Kinetoplastibacterium oncopeltii
GCA_003072465.1_ASM307246v1	GCA/003/072/465/GCA_003072465.1_ASM307246v1	kso	GCA/003/072/465	Candidatus Kinetoplastibacterium sorsogonicusi
GCA_000441555.1_ASM44155v1	GCA/000/441/555/GCA_000441555.1_ASM44155v1	ssdc	GCA/000/441/555	Candidatus Profftella armatura
GCA_000442605.1_ASM44260v1	GCA/000/442/605/GCA_000442605.1_ASM44260v1	ndl	GCA/000/442/605	Candidatus Nasuia deltocephalinicola
GCA_003391315.1_ASM339131v1	GCA/003/391/315/GCA_003391315.1_ASM339131v1	vfg	GCA/003/391/315	Candidatus Vidania fulgoroideae
GCA_000342265.1_ASM34226v1	GCA/000/342/265/GCA_000342265.1_ASM34226v1	bprc	GCA/000/342/265	Beta proteobacterium CB
GCA_001602455.1_ASM160245v1	GCA/001/602/455/GCA_001602455.1_ASM160245v1	beb	GCA/001/602/455	Betaproteobacteria bacterium UKL13-2
GCA_001953215.1_ASM195321v1	GCA/001/953/215/GCA_001953215.1_ASM195321v1	beba	GCA/001/953/215	Betaproteobacteria bacterium GR16-43
GCF_000008525.1_ASM852v1	GCF/000/008/525/GCF_000008525.1_ASM852v1	hpy	GCF/000/008/525	Helicobacter pylori 26695
GCA_000307795.1_ASM30779v1	GCA/000/307/795/GCA_000307795.1_ASM30779v1	heo	GCA/000/307/795	Helicobacter pylori 26695
GCA_000008785.1_ASM878v1	GCA/000/008/785/GCA_000008785.1_ASM878v1	hpj	GCA/000/008/785	Helicobacter pylori J99
GCA_000013245.1_ASM1324v1	GCA/000/013/245/GCA_000013245.1_ASM1324v1	hpa	GCA/000/013/245	Helicobacter pylori HPAG1
GCA_000020245.1_ASM2024v1	GCA/000/020/245/GCA_000020245.1_ASM2024v1	hps	GCA/000/020/245	Helicobacter pylori Shi470
GCA_000277405.1_ASM27740v1	GCA/000/277/405/GCA_000277405.1_ASM27740v1	hhp	GCA/000/277/405	Helicobacter pylori Shi112
GCA_000277385.1_ASM27738v1	GCA/000/277/385/GCA_000277385.1_ASM27738v1	hhq	GCA/000/277/385	Helicobacter pylori Shi169
GCA_000277365.1_ASM27736v1	GCA/000/277/365/GCA_000277365.1_ASM27736v1	hhr	GCA/000/277/365	Helicobacter pylori Shi417
GCA_000021165.1_ASM2116v1	GCA/000/021/165/GCA_000021165.1_ASM2116v1	hpg	GCA/000/021/165	Helicobacter pylori G27
GCA_000021465.1_ASM2146v1	GCA/000/021/465/GCA_000021465.1_ASM2146v1	hpp	GCA/000/021/465	Helicobacter pylori P12
GCA_000091345.1_ASM9134v1	GCA/000/091/345/GCA_000091345.1_ASM9134v1	hpb	GCA/000/091/345	Helicobacter pylori B38
GCA_000196755.1_ASM19675v1	GCA/000/196/755/GCA_000196755.1_ASM19675v1	hpl	GCA/000/196/755	Helicobacter pylori B8
GCA_000148875.1_ASM14887v1	GCA/000/148/875/GCA_000148875.1_ASM14887v1	hpc	GCA/000/148/875	Helicobacter pylori PeCan4
GCA_000277425.1_ASM27742v1	GCA/000/277/425/GCA_000277425.1_ASM27742v1	hca	GCA/000/277/425	Helicobacter pylori PeCan18
GCA_000148855.1_ASM14885v1	GCA/000/148/855/GCA_000148855.1_ASM14885v1	hpm	GCA/000/148/855	Helicobacter pylori SJM180
GCA_000255955.1_ASM25595v1	GCA/000/255/955/GCA_000255955.1_ASM25595v1	hpe	GCA/000/255/955	Helicobacter pylori ELS37
GCA_000178935.2_ASM17893v2	GCA/000/178/935/GCA_000178935.2_ASM17893v2	hpo	GCA/000/178/935	Helicobacter pylori 35A
GCA_000148665.1_ASM14866v1	GCA/000/148/665/GCA_000148665.1_ASM14866v1	hpi	GCA/000/148/665	Helicobacter pylori 908
GCA_000192315.1_ASM19231v1	GCA/000/192/315/GCA_000192315.1_ASM19231v1	hpq	GCA/000/192/315	Helicobacter pylori 2017
GCA_000192335.1_ASM19233v1	GCA/000/192/335/GCA_000192335.1_ASM19233v1	hpw	GCA/000/192/335	Helicobacter pylori 2018
GCA_000148895.1_ASM14889v1	GCA/000/148/895/GCA_000148895.1_ASM14889v1	hpu	GCA/000/148/895	Helicobacter pylori Cuz20
GCA_000270005.1_ASM27000v1	GCA/000/270/005/GCA_000270005.1_ASM27000v1	hef	GCA/000/270/005	Helicobacter pylori F16
GCA_000270025.1_ASM27002v1	GCA/000/270/025/GCA_000270025.1_ASM27002v1	hpf	GCA/000/270/025	Helicobacter pylori F30
GCA_000270045.1_ASM27004v1	GCA/000/270/045/GCA_000270045.1_ASM27004v1	heq	GCA/000/270/045	Helicobacter pylori F32
GCA_000270065.1_ASM27006v1	GCA/000/270/065/GCA_000270065.1_ASM27006v1	hex	GCA/000/270/065	Helicobacter pylori F57
GCA_000148915.1_ASM14891v1	GCA/000/148/915/GCA_000148915.1_ASM14891v1	hpt	GCA/000/148/915	Helicobacter pylori Sat464
GCA_000023805.1_ASM2380v1	GCA/000/023/805/GCA_000023805.1_ASM2380v1	hpz	GCA/000/023/805	Helicobacter pylori 52
GCA_000093185.1_ASM9318v1	GCA/000/093/185/GCA_000093185.1_ASM9318v1	hpv	GCA/000/093/185	Helicobacter pylori v225d
GCA_000213135.1_ASM21313v1	GCA/000/213/135/GCA_000213135.1_ASM21313v1	hpx	GCA/000/213/135	Helicobacter pylori 83
GCA_000224575.1_ASM22457v1	GCA/000/224/575/GCA_000224575.1_ASM22457v1	hen	GCA/000/224/575	Helicobacter pylori SNT49
GCA_000185225.1_ASM18522v1	GCA/000/185/225/GCA_000185225.1_ASM18522v1	hph	GCA/000/185/225	Helicobacter pylori Lithuania75
GCA_000185205.1_ASM18520v1	GCA/000/185/205/GCA_000185205.1_ASM18520v1	heg	GCA/000/185/205	Helicobacter pylori Gambia94/24
GCA_000185185.1_ASM18518v1	GCA/000/185/185/GCA_000185185.1_ASM18518v1	hpn	GCA/000/185/185	Helicobacter pylori India7
GCA_000224535.1_ASM22453v1	GCA/000/224/535/GCA_000224535.1_ASM22453v1	hep	GCA/000/224/535	Helicobacter pylori Puno120
GCA_000224555.1_ASM22455v1	GCA/000/224/555/GCA_000224555.1_ASM22455v1	heu	GCA/000/224/555	Helicobacter pylori Puno135
GCA_000185245.1_ASM18524v1	GCA/000/185/245/GCA_000185245.1_ASM18524v1	hes	GCA/000/185/245	Helicobacter pylori SouthAfrica7
GCA_000590775.1_ASM59077v1	GCA/000/590/775/GCA_000590775.1_ASM59077v1	hpys	GCA/000/590/775	Helicobacter pylori SouthAfrica20
GCA_000259235.1_ASM25923v1	GCA/000/259/235/GCA_000259235.1_ASM25923v1	hcn	GCA/000/259/235	Helicobacter pylori HUP-B14
GCA_000011725.1_ASM1172v1	GCA/000/011/725/GCA_000011725.1_ASM1172v1	hpd	GCA/000/011/725	Helicobacter pylori 51
GCA_000262655.1_ASM26265v1	GCA/000/262/655/GCA_000262655.1_ASM26265v1	hey	GCA/000/262/655	Helicobacter pylori XZ274
GCA_000307815.1_ASM30781v1	GCA/000/307/815/GCA_000307815.1_ASM30781v1	her	GCA/000/307/815	Helicobacter pylori Rif1
GCA_000307835.1_ASM30783v1	GCA/000/307/835/GCA_000307835.1_ASM30783v1	hei	GCA/000/307/835	Helicobacter pylori Rif2
GCA_000315955.1_ASM31595v1	GCA/000/315/955/GCA_000315955.1_ASM31595v1	hpya	GCA/000/315/955	Helicobacter pylori Aklavik117
GCA_000317875.1_ASM31787v1	GCA/000/317/875/GCA_000317875.1_ASM31787v1	hpyk	GCA/000/317/875	Helicobacter pylori Aklavik86
GCA_000348865.1_ASM34886v1	GCA/000/348/865/GCA_000348865.1_ASM34886v1	hpyo	GCA/000/348/865	Helicobacter pylori OK113
GCA_000348885.1_ASM34888v1	GCA/000/348/885/GCA_000348885.1_ASM34888v1	hpyl	GCA/000/348/885	Helicobacter pylori OK310
GCA_000600045.1_ASM60004v1	GCA/000/600/045/GCA_000600045.1_ASM60004v1	hpyb	GCA/000/600/045	Helicobacter pylori oki102
GCA_000600085.1_ASM60008v1	GCA/000/600/085/GCA_000600085.1_ASM60008v1	hpyc	GCA/000/600/085	Helicobacter pylori oki112
GCA_000600125.1_ASM60012v1	GCA/000/600/125/GCA_000600125.1_ASM60012v1	hpyd	GCA/000/600/125	Helicobacter pylori oki128
GCA_000600145.1_ASM60014v1	GCA/000/600/145/GCA_000600145.1_ASM60014v1	hpye	GCA/000/600/145	Helicobacter pylori oki154
GCA_000600165.1_ASM60016v1	GCA/000/600/165/GCA_000600165.1_ASM60016v1	hpyf	GCA/000/600/165	Helicobacter pylori oki422
GCA_000600185.1_ASM60018v1	GCA/000/600/185/GCA_000600185.1_ASM60018v1	hpyg	GCA/000/600/185	Helicobacter pylori oki673
GCA_000600205.1_ASM60020v1	GCA/000/600/205/GCA_000600205.1_ASM60020v1	hpyh	GCA/000/600/205	Helicobacter pylori oki828
GCA_000600225.1_ASM60022v1	GCA/000/600/225/GCA_000600225.1_ASM60022v1	hpyj	GCA/000/600/225	Helicobacter pylori oki898
GCA_000392455.3_ASM39245v3	GCA/000/392/455/GCA_000392455.3_ASM39245v3	hpyr	GCA/000/392/455	Helicobacter pylori UM032
GCA_000392515.3_ASM39251v3	GCA/000/392/515/GCA_000392515.3_ASM39251v3	hpyi	GCA/000/392/515	Helicobacter pylori UM037
GCA_000392535.3_ASM39253v3	GCA/000/392/535/GCA_000392535.3_ASM39253v3	hpyu	GCA/000/392/535	Helicobacter pylori UM066
GCA_000392475.3_ASM39247v3	GCA/000/392/475/GCA_000392475.3_ASM39247v3	hpym	GCA/000/392/475	Helicobacter pylori UM299
GCA_000439295.2_ASM43929v2	GCA/000/439/295/GCA_000439295.2_ASM43929v2	hem	GCA/000/439/295	Helicobacter pylori UM298
GCA_000498315.1_ASM49831v1	GCA/000/498/315/GCA_000498315.1_ASM49831v1	heb	GCA/000/498/315	Helicobacter pylori BM012A
GCA_000498335.1_ASM49833v1	GCA/000/498/335/GCA_000498335.1_ASM49833v1	hez	GCA/000/498/335	Helicobacter pylori BM012S
GCA_000007905.1_ASM790v1	GCA/000/007/905/GCA_000007905.1_ASM790v1	hhe	GCA/000/007/905	Helicobacter hepaticus
GCA_000009305.1_ASM930v1	GCA/000/009/305/GCA_000009305.1_ASM930v1	hac	GCA/000/009/305	Helicobacter acinonychis
GCA_000091985.1_ASM9198v1	GCA/000/091/985/GCA_000091985.1_ASM9198v1	hms	GCA/000/091/985	Helicobacter mustelae
GCA_000200595.1_ASM20059v1	GCA/000/200/595/GCA_000200595.1_ASM20059v1	hfe	GCA/000/200/595	Helicobacter felis
GCA_000237285.1_ASM23728v1	GCA/000/237/285/GCA_000237285.1_ASM23728v1	hbi	GCA/000/237/285	Helicobacter bizzozeronii
GCA_000259255.1_ASM25925v1	GCA/000/259/255/GCA_000259255.1_ASM25925v1	hce	GCA/000/259/255	Helicobacter cetorum MIT 00-7128
GCA_000259275.1_ASM25927v1	GCA/000/259/275/GCA_000259275.1_ASM25927v1	hcm	GCA/000/259/275	Helicobacter cetorum MIT 99-5656
GCA_000284635.1_ASM28463v1	GCA/000/284/635/GCA_000284635.1_ASM28463v1	hcp	GCA/000/284/635	Helicobacter cinaedi PAGU611
GCA_000349975.1_ASM34997v1	GCA/000/349/975/GCA_000349975.1_ASM34997v1	hcb	GCA/000/349/975	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847
GCA_000319205.1_ASM31920v1	GCA/000/319/205/GCA_000319205.1_ASM31920v1	hhm	GCA/000/319/205	Helicobacter heilmannii
GCA_001460635.1_htyphlonius_mit97-6810	GCA/001/460/635/GCA_001460635.1_htyphlonius_mit97-6810	hty	GCA/001/460/635	Helicobacter typhlonius
GCA_001999985.1_ASM199998v1	GCA/001/999/985/GCA_001999985.1_ASM199998v1	hbl	GCA/001/999/985	Helicobacter bilis
GCA_003097575.1_ASM309757v1	GCA/003/097/575/GCA_003097575.1_ASM309757v1	had	GCA/003/097/575	Helicobacter apodemus
GCA_000196135.1_ASM19613v1	GCA/000/196/135/GCA_000196135.1_ASM19613v1	wsu	GCA/000/196/135	Wolinella succinogenes
GCA_000012965.1_ASM1296v1	GCA/000/012/965/GCA_000012965.1_ASM1296v1	tdn	GCA/000/012/965	Sulfurimonas denitrificans
GCA_000147355.1_ASM14735v1	GCA/000/147/355/GCA_000147355.1_ASM14735v1	sua	GCA/000/147/355	Sulfurimonas autotrophica
GCA_000183725.1_ASM18372v1	GCA/000/183/725/GCA_000183725.1_ASM18372v1	sku	GCA/000/183/725	Sulfuricurvum kujiense
GCA_000310245.1_ASM31024v1	GCA/000/310/245/GCA_000310245.1_ASM31024v1	sulr	GCA/000/310/245	Candidatus Sulfuricurvum sp. RIFRC-1
GCF_000009085.1_ASM908v1	GCF/000/009/085/GCF_000009085.1_ASM908v1	cje	GCF/000/009/085	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
GCA_000304375.1_AINO	GCA/000/304/375/GCA_000304375.1_AINO	cjb	GCA/000/304/375	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
GCA_000015525.1_ASM1552v1	GCA/000/015/525/GCA_000015525.1_ASM1552v1	cjj	GCA/000/015/525	Campylobacter jejuni subsp. jejuni 81-176
GCA_000017905.1_ASM1790v1	GCA/000/017/905/GCA_000017905.1_ASM1790v1	cju	GCA/000/017/905	Campylobacter jejuni subsp. jejuni 81116
GCA_000184085.1_ASM18408v1	GCA/000/184/085/GCA_000184085.1_ASM18408v1	cjn	GCA/000/184/085	Campylobacter jejuni subsp. jejuni ICDCCJ07001
GCA_000025425.1_ASM2542v1	GCA/000/025/425/GCA_000025425.1_ASM2542v1	cji	GCA/000/025/425	Campylobacter jejuni subsp. jejuni IA3902
GCA_000148705.1_ASM14870v1	GCA/000/148/705/GCA_000148705.1_ASM14870v1	cjm	GCA/000/148/705	Campylobacter jejuni subsp. jejuni M1
GCA_000184205.1_ASM18420v1	GCA/000/184/205/GCA_000184205.1_ASM18420v1	cjs	GCA/000/184/205	Campylobacter jejuni subsp. jejuni S3
GCA_000302555.4_ASM30255v4	GCA/000/302/555/GCA_000302555.4_ASM30255v4	cjp	GCA/000/302/555	Campylobacter jejuni subsp. jejuni PT14
GCA_000466105.2_ASM46610v2	GCA/000/466/105/GCA_000466105.2_ASM46610v2	cjej	GCA/000/466/105	Campylobacter jejuni subsp. jejuni 00-2426
GCA_000466065.2_ASM46606v2	GCA/000/466/065/GCA_000466065.2_ASM46606v2	cjeu	GCA/000/466/065	Campylobacter jejuni subsp. jejuni 00-2538
GCA_000466075.2_ASM46607v2	GCA/000/466/075/GCA_000466075.2_ASM46607v2	cjen	GCA/000/466/075	Campylobacter jejuni subsp. jejuni 00-2544
GCA_000468915.2_ASM46891v2	GCA/000/468/915/GCA_000468915.2_ASM46891v2	cjei	GCA/000/468/915	Campylobacter jejuni subsp. jejuni 00-2425
GCA_000632435.1_ASM63243v1	GCA/000/632/435/GCA_000632435.1_ASM63243v1	cjer	GCA/000/632/435	Campylobacter jejuni subsp. jejuni R14
GCA_000737085.1_ASM73708v1	GCA/000/737/085/GCA_000737085.1_ASM73708v1	cjv	GCA/000/737/085	Campylobacter jejuni subsp. jejuni MTVDSCj20
GCA_000807355.1_ASM80735v1	GCA/000/807/355/GCA_000807355.1_ASM80735v1	cjy	GCA/000/807/355	Campylobacter jejuni subsp. jejuni YH001
GCA_000934305.1_ASM93430v1	GCA/000/934/305/GCA_000934305.1_ASM93430v1	cjq	GCA/000/934/305	Campylobacter jejuni subsp. jejuni 35925B2
GCA_000835285.1_ASM83528v1	GCA/000/835/285/GCA_000835285.1_ASM83528v1	cjl	GCA/000/835/285	Campylobacter jejuni subsp. jejuni 00-1597
GCA_000835305.1_ASM83530v1	GCA/000/835/305/GCA_000835305.1_ASM83530v1	cjw	GCA/000/835/305	Campylobacter jejuni subsp. jejuni 00-6200
GCA_000011865.1_ASM1186v1	GCA/000/011/865/GCA_000011865.1_ASM1186v1	cjr	GCA/000/011/865	Campylobacter jejuni RM1221
GCA_000017485.1_ASM1748v1	GCA/000/017/485/GCA_000017485.1_ASM1748v1	cjd	GCA/000/017/485	Campylobacter jejuni subsp. doylei 269.97
GCA_000430385.1_ASM43038v1	GCA/000/430/385/GCA_000430385.1_ASM43038v1	cjz	GCA/000/430/385	Campylobacter jejuni 32488
GCA_000493495.1_TS	GCA/000/493/495/GCA_000493495.1_TS	cjx	GCA/000/493/495	Campylobacter jejuni 4031
GCA_000015085.1_ASM1508v1	GCA/000/015/085/GCA_000015085.1_ASM1508v1	cff	GCA/000/015/085	Campylobacter fetus subsp. fetus 82-40
GCA_000759485.1_ASM75948v1	GCA/000/759/485/GCA_000759485.1_ASM75948v1	cft	GCA/000/759/485	Campylobacter fetus subsp. fetus 04/554
GCA_000512745.2_ASM51274v2	GCA/000/512/745/GCA_000512745.2_ASM51274v2	cfv	GCA/000/512/745	Campylobacter fetus subsp. venerealis cfvi03/293
GCA_000759515.1_ASM75951v1	GCA/000/759/515/GCA_000759515.1_ASM75951v1	cfx	GCA/000/759/515	Campylobacter fetus subsp. venerealis 97/608
GCA_000967135.1_CFV	GCA/000/967/135/GCA_000967135.1_CFV	cfz	GCA/000/967/135	Campylobacter fetus subsp. venerealis 84-112
GCA_000495505.1_ASM49550v1	GCA/000/495/505/GCA_000495505.1_ASM49550v1	camp	GCA/000/495/505	Campylobacter fetus subsp. testudinum 03-427
GCA_000814265.1_ASM81426v1	GCA/000/814/265/GCA_000814265.1_ASM81426v1	cfp	GCA/000/814/265	Campylobacter fetus subsp. testudinum pet-3
GCA_000017465.2_ASM1746v2	GCA/000/017/465/GCA_000017465.2_ASM1746v2	ccv	GCA/000/017/465	Campylobacter curvus
GCA_000017585.1_ASM1758v1	GCA/000/017/585/GCA_000017585.1_ASM1758v1	cha	GCA/000/017/585	Campylobacter hominis
GCA_000017725.2_ASM1772v2	GCA/000/017/725/GCA_000017725.2_ASM1772v2	cco	GCA/000/017/725	Campylobacter concisus 13826
GCA_001298465.1_ASM129846v1	GCA/001/298/465/GCA_001298465.1_ASM129846v1	ccoc	GCA/001/298/465	Campylobacter concisus ATCC 33237
GCA_000019205.1_ASM1920v1	GCA/000/019/205/GCA_000019205.1_ASM1920v1	cla	GCA/000/019/205	Campylobacter lari RM2100
GCA_000816405.1_ASM81640v1	GCA/000/816/405/GCA_000816405.1_ASM81640v1	clr	GCA/000/816/405	Campylobacter lari RM16701
GCA_000816425.1_ASM81642v1	GCA/000/816/425/GCA_000816425.1_ASM81642v1	clm	GCA/000/816/425	Campylobacter lari RM16712
GCA_000816385.2_ASM81638v2	GCA/000/816/385/GCA_000816385.2_ASM81638v2	clq	GCA/000/816/385	Campylobacter lari CCUG 22395
GCA_000816365.1_ASM81636v1	GCA/000/816/365/GCA_000816365.1_ASM81636v1	cln	GCA/000/816/365	Campylobacter lari NCTC 11845
GCA_000816225.1_ASM81622v1	GCA/000/816/225/GCA_000816225.1_ASM81622v1	cll	GCA/000/816/225	Campylobacter lari subsp. concheus LMG 11760
GCA_000470055.1_3S	GCA/000/470/055/GCA_000470055.1_3S	ccol	GCA/000/470/055	Campylobacter coli 76339
GCA_000465235.1_ASM46523v1	GCA/000/465/235/GCA_000465235.1_ASM46523v1	ccc	GCA/000/465/235	Campylobacter coli CVM N29710
GCA_000494775.1_ASM49477v1	GCA/000/494/775/GCA_000494775.1_ASM49477v1	ccq	GCA/000/494/775	Campylobacter coli 15-537360
GCA_000583755.1_ASM58375v1	GCA/000/583/755/GCA_000583755.1_ASM58375v1	ccf	GCA/000/583/755	Campylobacter coli RM1875
GCA_000583775.1_ASM58377v1	GCA/000/583/775/GCA_000583775.1_ASM58377v1	ccy	GCA/000/583/775	Campylobacter coli RM4661
GCA_000583795.1_ASM58379v1	GCA/000/583/795/GCA_000583795.1_ASM58379v1	ccoi	GCA/000/583/795	Campylobacter coli RM5611
GCA_000954195.1_ASM95419v1	GCA/000/954/195/GCA_000954195.1_ASM95419v1	ccof	GCA/000/954/195	Campylobacter coli FB1
GCA_001483845.1_ASM148384v1	GCA/001/483/845/GCA_001483845.1_ASM148384v1	ccoo	GCA/001/483/845	Campylobacter coli OR12
GCA_000736415.1_ASM73641v1	GCA/000/736/415/GCA_000736415.1_ASM73641v1	caj	GCA/000/736/415	Campylobacter iguaniorum
GCA_000816185.1_ASM81618v1	GCA/000/816/185/GCA_000816185.1_ASM81618v1	cis	GCA/000/816/185	Campylobacter insulaenigrae
GCA_000816345.1_ASM81634v1	GCA/000/816/345/GCA_000816345.1_ASM81634v1	cvo	GCA/000/816/345	Campylobacter volucris
GCA_000816785.1_ASM81678v1	GCA/000/816/785/GCA_000816785.1_ASM81678v1	cpel	GCA/000/816/785	Campylobacter peloridis
GCA_000816245.1_ASM81624v1	GCA/000/816/245/GCA_000816245.1_ASM81624v1	camr	GCA/000/816/245	Campylobacter sp. RM16704
GCA_000816265.1_ASM81626v1	GCA/000/816/265/GCA_000816265.1_ASM81626v1	csm	GCA/000/816/265	Campylobacter subantarcticus LMG 24374
GCA_000816305.1_ASM81630v1	GCA/000/816/305/GCA_000816305.1_ASM81630v1	csf	GCA/000/816/305	Campylobacter subantarcticus LMG 24377
GCA_001190745.1_ASM119074v1	GCA/001/190/745/GCA_001190745.1_ASM119074v1	cgra	GCA/001/190/745	Campylobacter gracilis
GCA_001190755.1_ASM119075v1	GCA/001/190/755/GCA_001190755.1_ASM119075v1	cure	GCA/001/190/755	Campylobacter ureolyticus
GCA_001643955.1_ASM164395v1	GCA/001/643/955/GCA_001643955.1_ASM164395v1	chyo	GCA/001/643/955	Campylobacter hyointestinalis
GCA_002080395.1_ASM208039v1	GCA/002/080/395/GCA_002080395.1_ASM208039v1	chv	GCA/002/080/395	Campylobacter helveticus
GCA_002220735.1_ASM222073v1	GCA/002/220/735/GCA_002220735.1_ASM222073v1	cspf	GCA/002/220/735	Campylobacter sputorum
GCA_002021985.1_ASM202198v1	GCA/002/021/985/GCA_002021985.1_ASM202198v1	cpin	GCA/002/021/985	Campylobacter pinnipediorum
GCA_002104335.1_ASM210433v1	GCA/002/104/335/GCA_002104335.1_ASM210433v1	ccun	GCA/002/104/335	Campylobacter cuniculorum
GCA_002139935.1_ASM213993v1	GCA/002/139/935/GCA_002139935.1_ASM213993v1	clx	GCA/002/139/935	Campylobacter lanienae
GCA_002238335.1_ASM223833v1	GCA/002/238/335/GCA_002238335.1_ASM223833v1	cavi	GCA/002/238/335	Campylobacter avium
GCA_001687475.2_ASM168747v2	GCA/001/687/475/GCA_001687475.2_ASM168747v2	chw	GCA/001/687/475	Campylobacter hepaticus
GCA_000014025.1_ASM1402v1	GCA/000/014/025/GCA_000014025.1_ASM1402v1	abu	GCA/000/014/025	Arcobacter butzleri RM4018
GCA_000284355.1_ASM28435v1	GCA/000/284/355/GCA_000284355.1_ASM28435v1	abt	GCA/000/284/355	Arcobacter butzleri ED-1
GCA_000215345.3_ASM21534v3	GCA/000/215/345/GCA_000215345.3_ASM21534v3	abl	GCA/000/215/345	Arcobacter butzleri 7h1h
GCA_000092245.1_ASM9224v1	GCA/000/092/245/GCA_000092245.1_ASM9224v1	ant	GCA/000/092/245	Arcobacter nitrofigilis
GCA_000284235.1_ASM28423v1	GCA/000/284/235/GCA_000284235.1_ASM28423v1	arc	GCA/000/284/235	Arcobacter sp. L
GCA_001956695.1_ASM195669v1	GCA/001/956/695/GCA_001956695.1_ASM195669v1	alp	GCA/001/956/695	Arcobacter sp. LPB0137
GCA_000024885.1_ASM2488v1	GCA/000/024/885/GCA_000024885.1_ASM2488v1	sdl	GCA/000/024/885	Sulfurospirillum deleyianum
GCA_000265295.1_ASM26529v1	GCA/000/265/295/GCA_000265295.1_ASM26529v1	sba	GCA/000/265/295	Sulfurospirillum barnesii
GCA_000568815.1_ASM56881v1	GCA/000/568/815/GCA_000568815.1_ASM56881v1	smul	GCA/000/568/815	Sulfurospirillum multivorans
GCA_001723605.1_ASM172360v1	GCA/001/723/605/GCA_001723605.1_ASM172360v1	shal	GCA/001/723/605	Sulfurospirillum halorespirans
GCA_002162315.1_ASM216231v1	GCA/002/162/315/GCA_002162315.1_ASM216231v1	suls	GCA/002/162/315	Sulfurospirillum sp. SL2-1
GCA_002309535.1_ASM230953v1	GCA/002/309/535/GCA_002309535.1_ASM230953v1	sulj	GCA/002/309/535	Sulfurospirillum sp. JPD-1
GCA_000186245.1_ASM18624v1	GCA/000/186/245/GCA_000186245.1_ASM18624v1	nsa	GCA/000/186/245	Nitratifractor salsuginis
GCA_000010325.1_ASM1032v1	GCA/000/010/325/GCA_000010325.1_ASM1032v1	nis	GCA/000/010/325	Nitratiruptor sp. SB155-2
GCA_000010345.1_ASM1034v1	GCA/000/010/345/GCA_000010345.1_ASM1034v1	sun	GCA/000/010/345	Sulfurovum sp. NBC37-1
GCA_000987835.1_ASM98783v1	GCA/000/987/835/GCA_000987835.1_ASM98783v1	slh	GCA/000/987/835	Sulfurovum lithotrophicum
GCA_000021725.1_ASM2172v1	GCA/000/021/725/GCA_000021725.1_ASM2172v1	nam	GCA/000/021/725	Nautilia profundicola
GCF_000007985.2_ASM798v2	GCF/000/007/985/GCF_000007985.2_ASM798v2	gsu	GCF/000/007/985	Geobacter sulfurreducens PCA
GCA_000210155.1_ASM21015v1	GCA/000/210/155/GCA_000210155.1_ASM21015v1	gsk	GCA/000/210/155	Geobacter sulfurreducens KN400
GCA_000012925.1_ASM1292v1	GCA/000/012/925/GCA_000012925.1_ASM1292v1	gme	GCA/000/012/925	Geobacter metallireducens
GCA_000016745.1_ASM1674v1	GCA/000/016/745/GCA_000016745.1_ASM1674v1	gur	GCA/000/016/745	Geobacter uraniireducens
GCA_000020385.1_ASM2038v1	GCA/000/020/385/GCA_000020385.1_ASM2038v1	glo	GCA/000/020/385	Geobacter lovleyi
GCA_000020725.1_ASM2072v1	GCA/000/020/725/GCA_000020725.1_ASM2072v1	gbm	GCA/000/020/725	Geobacter bemidjiensis
GCA_000022265.1_ASM2226v1	GCA/000/022/265/GCA_000022265.1_ASM2226v1	geo	GCA/000/022/265	Geobacter daltonii FRC-32
GCA_000023645.1_ASM2364v1	GCA/000/023/645/GCA_000023645.1_ASM2364v1	gem	GCA/000/023/645	Geobacter sp. M21
GCA_000175115.2_ASM17511v2	GCA/000/175/115/GCA_000175115.2_ASM17511v2	geb	GCA/000/175/115	Geobacter sp. M18
GCA_000817955.1_ASM81795v1	GCA/000/817/955/GCA_000817955.1_ASM81795v1	gpi	GCA/000/817/955	Geobacter pickeringii
GCA_001628815.1_ASM162881v1	GCA/001/628/815/GCA_001628815.1_ASM162881v1	gao	GCA/001/628/815	Geobacter anodireducens
GCA_000827125.1_ASM82712v1	GCA/000/827/125/GCA_000827125.1_ASM82712v1	gsb	GCA/000/827/125	Geoalkalibacter subterraneus
GCA_000012885.1_ASM1288v1	GCA/000/012/885/GCA_000012885.1_ASM1288v1	pca	GCA/000/012/885	Pelobacter carbinolicus
